Model,Configuration,Final_responses
gpt-4o,TESTSelect12.yaml,"[""<START>\n1. The `Runtime` specified is `python3.6`, which is no longer supported by AWS Lambda. You should use a supported version like `python3.8`, `python3.9`, or `python3.10`.\n\n2. The `security` configuration under the `Events` section is not valid in AWS SAM. API Gateway security settings, such as API keys, should be configured in the `AWS::Serverless::Api` resource or directly in the API Gateway console, not within the `AWS::Serverless::Function` resource.\n\n3. The `AWSTemplateFormatVersion` is correct, but the `Transform` section should not include a date. It should simply be `Transform: 'AWS::Serverless-2016-10-31'`.\n\n4. The `security` configuration is not a valid property for the `AWS::Serverless::Function` event source. Security settings should be managed separately in the API Gateway configuration.\n\n5. The `Handler` property is set to `lambda.handler`, which implies that there should be a file named `lambda.py` with a function named `handler`. Ensure that this file and function exist in your deployment package.\n<END>""]"
gpt-4o,case8-github.yaml,"['<START>\n1. The `RedrivePolicy` under the `MyFunction`\'s `TopicEvent` is incorrectly configured. The `RedrivePolicy` should not be specified under the `SNS` event source for a Lambda function. The `RedrivePolicy` is typically used for SQS queues, not for SNS event sources in Lambda.\n\n2. The `QueueUrl` property under `SqsSubscription` is not a valid property for the `SNS` event source in a Lambda function. The `SqsSubscription` should only specify the `QueueArn`.\n\n3. The `RedrivePolicy` for the `MyFunctionTopicEventQueue` references a dead letter queue using `Fn::GetAtt` with the logical ID ""MyDeadLetterQueue"", which is correct. However, the `RedrivePolicy` under the `MyFunction`\'s `TopicEvent` incorrectly references `QueueSNSDlq.Arn`, which does not exist in the template.\n\n4. The `Transform` declaration is correct, but the `AWS::Serverless::Function` resource should not have an `Events` property with a `RedrivePolicy` for SNS. The `RedrivePolicy` is not applicable in this context.\n<END>']"
gpt-4o,TESTSelect45.yaml,"['<START>\n1. The ""Are there any configuration errors in the above configuration?"" and subsequent instructions are incorrectly placed within the ""CommonLibLayer"" resource block. These lines should not be part of the CloudFormation template as they are not valid YAML or CloudFormation syntax.\n\n2. The ""ContentUri"" property should point to a valid path or S3 location where the layer content is stored. Ensure that ""dependencies/common"" is a valid path relative to the template or an S3 URI.\n\n3. The ""Default"" value for the ""AppId"" parameter is set to ""123456"". While this is not a syntax error, ensure that this default value is appropriate for your use case.\n\n4. The ""CompatibleRuntimes"" list only includes ""python3.8"". Ensure that this runtime is supported and that it matches the runtime of the Lambda functions that will use this layer.\n\n5. The ""Transform"" section specifies ""AWS::Serverless-2016-10-31"", which is correct for using AWS SAM, but ensure that the AWS SAM CLI and related tools are up to date to support this transform.\n\n6. The ""AWSTemplateFormatVersion"" is set to ""2010-09-09"", which is correct for CloudFormation templates, but ensure that the rest of the template adheres to the latest AWS SAM specifications.\n\nNote: The above points are based on the provided template snippet. Ensure that the rest of your template is correctly configured and validated using AWS SAM CLI tools.\n<END>']"
gpt-4o,TESTSelect53.yaml,"['<START>\n1. The `CodeUri` property in the `ContactIntegrationApi` resource is using the `!If` intrinsic function incorrectly. The `!If` function requires three arguments: the condition name, the value if true, and the value if false. The current configuration only provides two arguments. It should be something like: `!If [CreateProdResources, ""functions/prod/app/"", ""functions/dev/app/""]`.\n<END>']"
gpt-4o,case40-github-error.yaml,['<START>\nResources:\n  HelloWorldFunction:\n    Type: AWS::Serverless::Function\n    Properties:\n      Handler: index.handler\n      Runtime: nodejs18.x\n      Environment:\n        Variables:\n          APIStage: !Ref APIStage\n<END>']
gpt-4o,TESTSelect28.yaml,"['<START>\n1. The `EphemeralStorage` property is incorrectly specified. The valid range for `EphemeralStorage` is between 512 and 10240 MB. The value 5000 is within this range, so there is no error here.\n2. The `Runtime` property is set to `dotnetcore3.1`, which is deprecated. Consider using a supported runtime version like `dotnet6`.\n<END>']"
gpt-4o,case19-github.yaml,"['<START>\n1. **DatadogServerless Transform Parameters**: The `apiKey` parameter is hardcoded with ""xxxxxxx"". This should be securely managed, possibly using AWS Secrets Manager or AWS Systems Manager Parameter Store.\n\n2. **DomainName Mapping for Local Environment**: The `ApiName` and `webUrl` for the Local environment are the same as the Dev environment. If this is intentional, it should be documented; otherwise, it might be a misconfiguration.\n\n3. **Cognito Mapping for Local Environment**: The `ClientId` and `Secret` for the Local environment are the same as the Dev environment. If this is intentional, it should be documented; otherwise, it might be a misconfiguration.\n\n4. **Outputs Section**: The `WebEndpoint` output uses `${HttpApiGW.DomainName}` in the `Value` field. However, `DomainName` is not a direct attribute of the `AWS::Serverless::HttpApi` resource. You might need to use a different intrinsic function or output the correct attribute.\n\n5. **CORS Configuration AllowOrigins**: The `AllowOrigins` includes ""http://localhost:4200"", which is typically used for local development. Ensure this is intended for production environments as well, or conditionally include it based on the environment.\n\n6. **Route53 Configuration in HttpApiGW**: The `Route53` property is not a valid property for the `AWS::Serverless::HttpApi` resource. The correct configuration should be under a `DomainName` resource, not directly within the `HttpApiGW` resource.\n\n7. **Security Policy**: The `SecurityPolicy` is set to `TLS_1_2`, which is correct, but ensure that this is the desired policy for all environments, especially if there are specific compliance requirements.\n\n8. **Case Sensitivity in Paths**: The paths `/AnonymousSmsSendPageUrl/{WorkOrderId}/{AffiliateId}` and `/anonymousSmsSendPageUrl/{WorkOrderId}/{AffiliateId}` are treated as different routes due to case sensitivity. Ensure both are needed or consolidate them if not.\n\n9. **Missing Logical ID for DatadogServerless Transform**: The `Transform` section includes a `DatadogServerless` transform with parameters, but there is no logical ID or resource definition for this transform. Ensure that the transform is correctly defined and supported in your AWS environment.\n<END>']"
gpt-4o,case1-github.yaml,"['<START>\n1. The `AllowMethods`, `AllowHeaders`, and `AllowOrigin` values in the `Cors` configuration under `Globals` should not be enclosed in single quotes. They should be specified as lists without quotes. For example:\n   ```yaml\n   AllowMethods: \n     - DELETE\n     - GET\n     - HEAD\n     - OPTIONS\n     - PATCH\n     - POST\n     - PUT\n   AllowHeaders: \n     - Content-Type\n     - X-Amz-Date\n     - Authorization\n     - X-Api-Key\n     - X-Amz-Security-Token\n   AllowOrigin: ""*""\n   ```\n\n2. The `Resource` property in the `Policies` section of the `MonolithicFunction` should include the table\'s index resources if you intend to allow actions on them. The current configuration only allows actions on the table itself. If you need to allow actions on the Global Secondary Index (GSI), you should include the index ARN as well. For example:\n   ```yaml\n   Resource: \n     - !Sub ""arn:aws:dynamodb:*:*:table/${DDBTableName}""\n     - !Sub ""arn:aws:dynamodb:*:*:table/${DDBTableName}/index/*""\n   ```\n\n3. The `Outputs` section references `${APIG}` which should be `${APIG.Ref}` or simply `!Ref APIG` to correctly reference the API Gateway resource.\n<END>']"
gpt-4o,TESTSelect49.yaml,"['<START>\n1. The `Role` property in the `DeployJBApp` function uses the intrinsic function `!Sub` with `${AWS::AccountID}`. However, `AWS::AccountID` is not a supported pseudo parameter in AWS CloudFormation. You should use `AWS::AccountId` instead.\n\n2. The `Runtime` specified for the `DeployJBApp` function is `python3.7`. As of October 2023, AWS Lambda has deprecated Python 3.7. You should consider using a supported version like `python3.8`, `python3.9`, or `python3.10`.\n\n3. The `Outputs` section is incorrectly indented. It should be aligned with the `Resources` section, not inside it.\n<END>']"
gpt-4o,case22-github.yaml,"[""<START>\n1. The `AWS::ApiGateway::DomainName` resource is not correctly configured. The `CertificateArn` property should be `RegionalCertificateArn` or `CertificateArn` depending on the endpoint type, but it is missing the endpoint configuration.\n\n2. The `AWS::ApiGateway::BasePathMapping` resource has a `DependsOn` attribute that references `MyApiProdStage`, but `MyApiProdStage` is not correctly configured to depend on the `MyApi` resource. The `Stage` should be created after the `Api`.\n\n3. The `AWS::Serverless::Api` resource has a `Domain` property that is not correctly configured. The `DomainName` and `CertificateArn` should be specified under the `Domain` property, but the `EndpointConfiguration` and `BasePath` should not be nested under `Domain`.\n\n4. The `AWS::Serverless::Api` resource's `Route53` configuration is incorrect. The `HostedZoneId` should be a valid hosted zone ID, not a reference to a `HostedZone` resource.\n\n5. The `AWS::ApiGateway::Stage` resource `StageName` should not be hardcoded as `Prod` if it is intended to be dynamic or based on a parameter.\n\n6. The `AWS::CertificateManager::Certificate` resource is missing the `ValidationMethod` property, which is required to validate the certificate.\n\n7. The `AWS::ApiGateway::DomainName` resource is missing the `EndpointConfiguration` property, which is required to specify the endpoint type (EDGE or REGIONAL).\n\n8. The `AWS::Serverless::Function` resource's `Events` property is incorrectly configured. The `RestApiId` should be a reference to the `AWS::Serverless::Api` resource, not `MyApi`.\n\n9. The `AWS::Route53::HostedZone` resource is not correctly configured. Typically, a hosted zone is created for a root domain, not a subdomain like `example.mydomain-GavinZZ-testing.com`.\n\n10. The `AWS::ApiGateway::BasePathMapping` resource's `BasePath` property should not be hardcoded if it is intended to be dynamic or based on a parameter.\n<END>""]"
